População  residente -  total
Sigla;Código;Município;1996;2000;2007;2010;
PE;2610400;Parnamirim;18699;19289;19214;20224;
PE;2610509;Passira;28082;29132;27910;28628;
PE;2610608;Paudalho;40770;45138;45777;51357;
PE;2610707;Paulista;233634;262237;307284;300466;
PE;2610806;Pedra;19312;20244;20132;20944;
PE;2610905;Pesqueira;55954;57721;61337;62931;
PE;2611002;Petrolândia;33757;27320;30597;32492;
PE;2611101;Petrolina;191238;218538;268339;293962;
PE;2611200;Poção;10421;11178;11135;11242;
PE;2611309;Pombos;21673;23351;21810;24046;
PE;2611408;Primavera;10803;11477;11853;13439;
PE;2611507;Quipapá;19512;22145;24197;24186;
PE;2611533;Quixaba;7141;6855;6875;6739;
PE;2611606;Recife;1346045;1422905;1533580;1537704;
PE;2611705;Riacho das Almas;17217;18142;18269;19162;
PE;2611804;Ribeirão;39924;41449;38755;44439;
PE;2611903;Rio Formoso;35342;20764;21024;22151;
PE;2612000;Sairé;13369;13649;13709;11240;
PE;2612109;Salgadinho;5914;7139;7770;9312;
PE;2612208;Salgueiro;49278;51571;53167;56629;
PE;2612307;Saloá;15222;15006;15027;15309;
PE;2612406;Sanharó;15851;15879;17627;21955;
PE;2612455;Santa Cruz;10904;11264;13644;13594;
PE;2612471;Santa Cruz da Baixa Verde;11143;10893;11610;11768;
PE;2612505;Santa Cruz do Capibaribe;47248;59048;73680;87582;
PE;2612554;Santa Filomena;;12115;13759;13371;
PE;2612604;Santa Maria da Boa Vista;49118;36914;39626;39435;
PE;2612703;Santa Maria do Cambucá;11516;11739;12348;13021;
PE;2612802;Santa Terezinha;9513;10251;9934;10991;
PE;2612901;São Benedito do Sul;11117;10477;9790;13941;
PE;2613008;São Bento do Una;44992;45360;47230;53242;
PE;2613107;São Caitano;30629;33426;34769;35274;
PE;2613206;São João;18492;19744;21011;21312;
PE;2613305;São Joaquim do Monte;18662;19842;20869;20488;
PE;2613404;São José da Coroa Grande;13116;13971;17090;18180;
PE;2613503;São José do Belmonte;31177;31652;32704;32617;
PE;2613602;São José do Egito;28793;29468;30469;31829;
PE;2613701;São Lourenço da Mata;89754;90402;95304;102895;
PE;2613800;São Vicente Ferrer;15265;16004;16598;17000;
PE;2613909;Serra Talhada;70305;70912;76198;79232;
PE;2614006;Serrita;16830;17848;18228;18331;
PE;2614105;Sertânia;29734;31657;34069;33787;
PE;2614204;Sirinhaém;32101;33046;36414;40296;
PE;2614303;Moreilândia;12643;11116;10424;11132;
PE;2614402;Solidão;5435;5532;5837;5744;
PE;2614501;Surubim;59021;50331;53934;58515;
PE;2614600;Tabira;23133;24065;25836;26427;
PE;2614709;Tacaimbó;11243;12929;12095;12725;
PE;2614808;Tacaratu;16612;17096;20552;22068;
PE;2614857;Tamandaré;;17281;18137;20715;
PE;2615003;Taquaritinga do Norte;18668;19757;21447;24903;
PE;2615102;Terezinha;6349;6300;6496;6737;
PE;2615201;Terra Nova;7043;7518;9057;9278;
PE;2615300;Timbaúba;56554;56906;51529;53825;
PE;2615409;Toritama;18455;21800;29897;35554;
PE;2615508;Tracunhaém;12579;12394;12734;13055;
PE;2615607;Trindade;19521;21930;24642;26116;
PE;2615706;Triunfo;14996;15135;15225;15006;
PE;2615805;Tupanatinga;19197;20801;18913;24425;
PE;2615904;Tuparetama;7868;7766;8257;7925;
PE;2616001;Venturosa;13013;13462;15576;16052;
PE;2616100;Verdejante;8383;8846;9567;9142;
PE;2616183;Vertente do Lério;8696;8536;7500;7873;
PE;2616209;Vertentes;13335;14957;17021;18222;
PE;2616308;Vicência;27077;28820;27360;30732;
PE;2616407;Vitória de Santo Antão;110888;117609;121233;129974;
PE;2616506;Xexéu;13045;13597;14224;14093;
PE;2699919;Muribeca;;;;;
PE;2699929;Nossa Senhora do Ó de Goyanna;;;;;
PE;2699939;Cimbres;;;;;
